Year,Inflation_Rate ,AnnualChange
2020,-1.14,-1.8
2019,0.66,-0.22
2018,0.88,-2.99
2017,3.87,1.78
2016,2.09,-0.01
2015,2.1,-1.04
2014,3.14,1.04
2013,2.11,0.44
2012,1.66,-1.51
2011,3.17,1.55
2010,1.62,1.04
2009,0.58,-4.86
2008,5.44,3.41
2007,2.03,-1.58
2006,3.61,0.63
2005,2.98,1.55
2004,1.42,0.33
2003,1.09,-0.72
2002,1.81,0.39
2001,1.42,-0.12
2000,1.53,-1.21
1999,2.74,-2.53
1998,5.27,2.61
1997,2.66,-0.83
1996,3.49,0.04
1995,3.45,-0.27
1994,3.73,0.19
1993,3.54,-1.23
1992,4.77,0.41
1991,4.36,1.74
1990,2.62,-0.2
1989,2.81,0.26
1988,2.56,2.27
1987,0.29,-0.45
1986,0.74,0.39
1985,0.35,-3.55
1984,3.9,0.19
1983,3.7,-2.11
1982,5.82,-3.88
1981,9.7,3.03
1980,6.67,3.02
1979,3.65,-1.21
1978,4.86,0.07
1977,4.79,2.15
1976,2.63,-1.85
1975,4.49,-12.84
1974,17.33,6.77
1973,10.56,7.33
1972,3.23,1.62
1971,1.61,-0.23
1970,1.84,2.25
1969,-0.41,-0.25
1968,-0.16,-4.73
1967,4.58,3.61
1966,0.97,1.07
1965,-0.11,0.3
1964,-0.4,-3.51
1963,3.11,3
1962,0.11,0.29
1961,-0.18,-0.24
1960,0.06,-0.24
